source	disposition	target_or_reason
a-per-target-cargo-green-is-not-a-crate-green-and-p-crate-cannot-see-a-dependent-crate	DUP	agent/memory/teams/kernel/trust-root-reduction-change-needs-full-workspace-gate.md
a-per-witness-reachability-control-is-blind-to-short-circuiting	DROP	WP-specific incident (RT-DECL-CLOSURE-PORT D1)
a-perfect-discriminator-may-be-separating-your-two-test-suites	DROP	WP-specific incident (D7 1d)
a-persisted-shell-cwd-silently-rescopes-every-later-git-query-and-reports-cleanly	DUP	agent/memory/fleet/a-git-query-answers-a-different-question-correctly-and-never-errors.md
a-perturbation-value-picked-from-a-neighbour-can-name-a-real-key	DROP	WP-specific incident, narrow selector-control case
a-pin-cannot-disagree-with-its-own-source	DUP	agent/memory/fleet/a-pin-cannot-disagree-with-its-own-source.md (checked-in copy current; no fold)
a-pin-that-never-exercises-the-violating-mechanism-is-not-evidence-about-it	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-pin-you-are-asked-to-repair-may-be-cfg-any-dead-code	DROP	WP-specific incident (RT-CONTSRC-PRODUCER-LOCAL)
a-pipeline-redirected-to-dev-null-returns-no-match-while-a-match-exists	DUP	agent/memory/fleet/a-probe-truncated-before-the-grep-is-not-a-measurement.md
a-planned-edge-can-have-a-second-consumer-so-suppressing-it-changes-meaning-not-just-obligation	DROP	WP-specific incident (RT-CONTINUATION-CALL-DISCHARGE D2)
a-platform-level-gate-is-not-evaded-by-swapping-model-tier-within-that-platform	DUP	merged into promoted agent/memory/roles/steward/a-fleet-outage-can-be-platform-partitioned-and-only-a-pane-census-sees-it.md
a-playbook-can-name-a-backstop-that-does-not-exist	DROP	incident narrative (Architect playbook self-citation error, 2026-09-16/17)
a-pointer-that-confirms-your-own-ruling-is-the-one-you-do-not-follow	DUP	agent/memory/fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md
a-port-that-adds-a-new-owner-does-not-retire-the-old-owners-unit	DROP	WP-specific incident (RT-DECL-CLOSURE-PORT D5)
a-ported-mutation-instrument-can-arrive-as-a-definition-with-no-call-site	DROP	incident narrative (port audit, 4 dead mutation instruments)
a-ports-population-is-the-changed-set-its-blast-radius-is-the-consumer-cone	DUP	CHECKS.md#3
a-positive-control-can-sit-on-the-lane-the-measured-run-does-not-take	DROP	single-incident finding; same-lane-control point covered loosely by positive-control family
a-positive-control-validates-the-instruments-reach-not-its-key	DUP	agent/memory/fleet/a-guard-added-to-a-pattern-can-consume-the-token-the-pattern-searches-for.md
a-post-is-classified-by-its-first-paragraph-because-delivery-truncates-from-the-top	DROP	single relay incident; covered loosely by mention-discipline/truncated-notification family
a-post-that-announces-its-own-not-yet-performed-side-effect-is-false-when-written	DROP	single-incident narrative; covered loosely by staleness/not-yet-true-claim family
a-precondition-attached-to-a-vote-is-a-claim-about-the-present-re-read-it-in-the-posting-turn	DROP	single vote incident; covered loosely by re-check-live-state-before-posting family
a-prescribed-mechanism-can-require-an-order-the-machine-does-not-run-in	DROP	single RT node finding; mint/consume ordering too specific to that node
a-prescribed-minimal-fix-can-admit-the-same-bad-state-one-step-sideways	DUP	agent/memory/fleet/a-fix-that-closes-the-named-counterexample-need-not-close-the-class.md
a-preservation-claim-must-name-refs-that-survive-the-operation-it-protects-against	DUP	agent/memory/roles/steward/a-durability-claim-in-an-artifact-was-never-checked-against-origin.md
a-private-field-newtype-at-module-scope-refuses-nothing	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-probe-built-on-a-command-that-echoes-its-failing-argument-reports-a-false-difference	DROP	single shell-idiom incident; covered loosely by rev-parse/coordinate-fragility family
a-probe-keyed-to-the-container-hides-a-property-that-lives-on-its-members	DROP	single-incident probe-granularity finding; covered loosely by census-granularity family
a-probe-specified-one-level-off-answers-correctly-and-selects-the-wrong-branch	DROP	single RT node finding; narrow to that recursive-descent mechanism
a-probe-truncated-before-the-grep-is-not-a-measurement	DUP	agent/memory/fleet/a-probe-truncated-before-the-grep-is-not-a-measurement.md (checked-in copy current; no fold)
a-procedure-step-that-says-reset-hard-has-an-unstated-clean-tree-precondition	DROP	single reset-hard mishap; covered loosely by hard-reset-destroys-uncommitted-work family
a-process-count-matches-your-own-shell-when-the-command-embeds-the-path	PROMOTE	new agent/memory/roles/steward/a-process-count-matches-your-own-shell-when-the-command-embeds-the-path.md
a-producer-and-its-fail-closed-boundary-cannot-be-separate-increments	DROP	single WP-slicing narrative; campaign-specific
a-prohibition-ac-cannot-be-inherited-by-the-slice-that-performs-the-prohibited-act	DROP	single frame-authoring incident; covered loosely by stale-prohibition-carried-forward family
a-prohibition-list-with-no-recorded-rationale-gets-read-at-its-widest	DROP	single routing incident (nine-SHA list); too specific to generalize
a-protected-base-ref-can-have-stopped-being-an-ancestor	DROP	single incident; covered loosely by ancestry-drift family already well represented
a-purely-additive-diff-cannot-have-updated-anything-that-already-existed	DROP	single-node multi-firing narrative; covered loosely by diff-shape/numstat family
a-queue-position-is-not-execution-order	DUP	agent/memory/fleet/every-verification-instrument-passes-on-a-candidate-that-was-never-pushed.md
a-queued-delivery-waits-on-a-next-tool-call-an-idle-seat-will-never-make	DUP	agent/memory/roles/steward/a-queued-delivery-waits-on-a-next-tool-call-an-idle-seat-will-never-make.md (drift folded into it)
a-re-implemented-candidate-breaks-ancestry-so-the-branch-name-keeps-pointing-at-the-dead-work	DROP	single Steward routing incident; covered loosely by ancestry/branch-name-drift family
a-reachability-count-taken-while-the-path-is-failing-measures-the-failure	DROP	single-incident; covered loosely by vacuous-gate/zero-reachability family
a-read-is-not-a-dependency-and-a-bound-named-as-a-coordinate-invites-refutation-by-coordinate	DROP	multi-incident narrative; covered loosely by coordinate-drift family, cites its own siblings
a-readback-oracle-inherits-every-assumption-in-the-address-it-reads-back-on	DROP	single port-campaign incident; covered loosely by proxy/oracle family
a-readiness-test-that-resolves-a-path-fails-in-two-opposite-guises	DROP	single Steward sweep incident; covered loosely by existence-vs-content family
a-reading-formed-from-a-subset-of-retrieved-evidence-has-no-control	DUP	agent/memory/fleet/a-pattern-match-is-evidence-about-what-encloses-it.md
a-reading-of-the-encoding-is-not-a-probe-of-the-encoding	DROP	single Architect incident; covered loosely by reading-vs-measuring family
a-real-aggregate-plus-an-inherited-cause-label-is-a-false-finding	DROP	single CI-timing incident; covered loosely by attribution/proxy family
a-reassurance-message-that-cannot-fail-is-worse-than-no-check	DROP	multi-firing compound incident log; covered loosely by vacuous-instrument/reassurance family
a-record-audited-for-presence-and-consumed-for-content-drifts-while-the-audit-keeps-passing	DROP	single-day multi-incident narrative; covered loosely by presence-vs-content family
a-record-with-no-consumer-is-storage-not-observation	DROP	single incident; covered loosely by reachability/consumer-census family
a-recut-can-declare-its-new-edge-as-blocks-on-the-child-which-gen-progress-never-reads	DROP	narrow Ken tracker-tooling mechanic (blocks vs depends_on)
a-redirect-changes-who-calls-a-unit-not-what-that-unit-does	DROP	single compiler-emitter incident; narrow to that mechanism
a-redundant-wake-path-masks-a-mention-gap-until-both-fail-together	DROP	single incident; covered loosely by mention-discipline/coordination family
a-redundantly-defended-repair-shows-no-single-line-mutation	DROP	single mutation-campaign incident; covered loosely by mutation-campaign family
a-refusal-assertion-is-satisfied-by-a-fixture-that-never-reached-the-site	DROP	single incident; covered loosely by mutation/reachability-counter family
a-refusal-attributed-to-an-arm-that-never-ran-inverts-a-partition	DUP	CHECKS.md#2
a-refusal-law-matrix-can-carry-a-phantom-hypothesis-and-the-and-intro-tower-is-canonical-reflexivity-not-a-smuggled-non-equality	DROP	campaign-specific reference note tied to one attached-laws hunt
a-refusal-probe-shows-the-value-not-where-it-was-born	DROP	single incident; covered loosely by probe-placement family
a-regression-claim-is-differential-and-never-needs-an-absolute-verdict	DROP	single-node multi-firing narrative; covered loosely by differential/regression family
a-relation-that-needs-a-forbidden-reverse-search-from-one-end-is-often-forward-from-the-other	DROP	single incident; narrow planner-mechanics finding
a-relational-finding-needs-one-ref-an-absolute-finding-needs-the-live-head	DROP	single-afternoon narrative; covered loosely by ref-staleness/live-head family
a-relay-is-checked-for-count-and-tone-the-property-that-drifts-is-membership	DUP	agent/memory/fleet/an-injected-finding-is-a-change-request-and-the-least-resisted-one.md
a-release-condition-keyed-on-a-merge-event-fires-when-an-accepted-partial-lands	DUP	agent/memory/roles/adversary/a-carried-obligation-gated-on-a-merge-event-fires-on-an-accepted-partial.md
a-release-gate-keyed-on-merged-can-never-fire-for-a-measurement-only-predecessor	DUP	agent/memory/roles/adversary/a-carried-obligation-gated-on-a-merge-event-fires-on-an-accepted-partial.md
a-released-candidate-can-exist-on-one-local-branch-and-the-publisher-cannot-see-it	DUP	agent/memory/fleet/every-verification-instrument-passes-on-a-candidate-that-was-never-pushed.md
a-remedy-must-be-performable-in-the-frame-where-it-acts-not-the-frame-where-the-defect-was-measured	DROP	single incident; covered loosely by cross-frame-comparison family
a-rename-sweep-inverts-the-prose-that-names-the-old-spelling-to-retire-it	DROP	single incident; covered loosely by rename-sweep/retirement-prose family
a-replacement-object-starts-with-every-field-unset-including-the-one-that-was-already-wrong	DROP	single incident; covered loosely by correction-lands-on-artifact family
a-reply-timestamp-does-not-measure-when-someone-read-your-post	DROP	single incident; covered loosely by delivery-vs-receipt family
a-reported-mutation-experiment-is-not-a-committed-control	DROP	single incident; covered loosely by mutation-campaign/control-naming family
a-representability-impossibility-can-be-an-undispatched-tier-sourcing-from-a-proxy	DUP	CHECKS.md#4
a-representation-node-must-name-who-eliminates-it	DROP	single WP narrative; covered loosely by producer/consumer-naming family
a-required-check-stuck-at-in-progress-despite-a-success-conclusion-blocks-the-merge	PROMOTE	extended agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
a-required-deliverable-can-transitively-require-the-frames-excluded-scope	DROP	single incident; covered loosely by frame does/does-not consistency family
a-required-environment-of-zero-makes-every-gate-assertion-vacuous	DROP	single incident; covered loosely by vacuous-gate family
a-required-key-member-can-be-absent-on-the-very-witness-the-design-was-measured-on	DROP	single RT node incident; narrow identity-key design decision
a-required-parameter-proves-supply-not-consumption	DROP	single incident; covered loosely by supply-vs-consumption family
a-requirement-that-lives-only-in-gate-rejection-prose-is-not-a-criterion	DROP	twice-measured but narrative-bound; covered loosely by frame-completeness family
a-residual-paragraph-reads-as-honest-which-is-what-stops-anyone-auditing-it	DROP	single WP incident; covered loosely by pin-gap-auditing family
a-resolved-decision-with-no-pr-is-invisible-to-every-instrument-i-run	DROP	single incident; covered loosely by decision-staleness/watchdog family
a-resource-exhaustion-failure-may-be-a-deleted-guard-not-new-code	DUP	merged into promoted agent/memory/fleet/a-deleted-guard-can-be-the-only-enforcement-of-a-second-thing-nobody-named.md
a-retired-rule-survives-in-the-boilerplate-that-gets-copied-into-new-artifacts	DUP	agent/memory/fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md
a-retry-that-succeeds-after-you-changed-tools-is-confounded-by-elapsed-time	DROP	single-incident debugging narrative; general control-for-time practice
a-reuse-this-builder-finding-is-scoped-to-the-seat-you-measured-it-at	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-review-request-goes-stale-the-moment-a-ruling-lands-and-qa-enforces-it-anyway	DROP	single-incident; stale-artifact-enforced-anyway covered loosely elsewhere
a-ring-awaiting-merge-may-be-awaiting-one-that-already-happened	DUP	agent/memory/roles/steward/a-routing-queue-built-from-statuses-and-ancestry-is-four-already-landed-candidates.md
a-route-names-a-sha-but-the-publisher-pushes-a-ref	PROMOTE	new agent/memory/roles/steward/a-route-names-a-sha-but-the-publisher-pushes-a-ref.md
a-routing-gate-is-taken-against-one-main-and-an-in-flight-publisher-is-about-to-move-it	DUP	agent/memory/fleet/routing-a-merge-asks-what-it-does-to-ci-already-running.md
a-rule-can-be-barred-by-the-functions-own-doc-one-level-above-your-ac	DROP	single-incident escalation narrative (kernel D-free ruling)
a-rule-far-from-the-point-of-work-does-not-fire	DUP	agent/memory/fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md
a-rule-whose-arithmetic-has-one-sign-fails-the-site-that-moves-the-other-way	DUP	agent/playbooks/tools/stated-stacks.md
a-ruled-fixs-acceptance-contradiction-can-mean-the-premise-is-false-run-the-null-config-experiment	DROP	single-incident WP narrative (RT inc2 write-half)
a-ruling-can-name-an-outcome-that-already-exists-in-the-tree-with-the-opposite-meaning	DROP	single-incident kernel enum-naming collision narrative
a-ruling-can-require-a-successor-whose-base-is-absent-from-main	DUP	agent/memory/fleet/a-dependency-is-met-when-you-can-write-the-obligation.md
a-ruling-id-in-a-code-comment-can-range-over-a-narrower-object-than-your-question	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-ruling-reported-unretrievable-may-only-be-missing-from-the-mcp-read	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-ruling-that-barred-content-from-a-site-does-not-travel-to-the-next-edit-of-that-site	DROP	single-incident WP narrative (PR #2381 to #2389 comment ruling)
a-ruling-that-enumerates-sites-plus-a-faithful-implementer-hides-siblings-with-the-same-defect	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-ruling-that-names-a-code-location-has-not-named-an-output-path	DUP	agent/memory/fleet/a-capture-that-wrote-zero-bytes-is-a-failed-capture-not-a-clean-build.md
a-rulings-causal-story-can-be-right-about-the-symptom-and-wrong-about-the-mechanism	DUP	agent/memory/roles/steward/a-hypothesis-published-in-a-routing-post-is-executed-as-an-instruction.md
a-rulings-description-of-a-gap-outlives-the-gap-it-diagnosed	DUP	agent/memory/fleet/text-whose-truth-has-an-expiry-sits-in-an-artifact-with-no-alarm.md
a-safety-check-modals-default-option-silently-downgrades-the-model	OPERATOR	listed for the Steward (not placed in the corpus)
a-scoped-instrument-must-state-its-scope-with-its-result	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-scripted-lifecycle-step-silently-no-ops-on-the-state-its-pattern-does-not-cover	DUP	agent/memory/roles/steward/committed-is-not-reachable-publish-then-verify-on-main.md
a-search-run-after-a-fix-lands-includes-the-fix	PROMOTE	new agent/memory/fleet/a-search-run-after-a-fix-lands-includes-the-fix.md
a-seat-can-answer-its-leader-in-its-own-pane-and-never-post-to-the-channel	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-seat-that-compacts-between-receiving-a-request-and-acting-on-it-drops-it-silently	DUP	agent/memory/fleet/a-seat-that-compacts-on-receiving-work-loses-the-work.md
a-seats-hold-status-records-what-it-believed-not-what-main-says	DUP	agent/memory/roles/steward/a-routing-queue-built-from-statuses-and-ancestry-is-four-already-landed-candidates.md
a-seats-last-seen-at-skew-is-the-only-instrument-that-sees-a-dead-mcp-transport	DUP	agent/memory/fleet/pane-suggestion-text-is-not-agent-state.md
a-seats-running-model-can-silently-differ-from-its-config-and-only-the-footer-shows-it	DUP	agent/memory/fleet/safety-check-modal-defaults-to-a-model-downgrade.md
a-second-seat-is-a-second-tree-never-a-second-machine	DUP	agent/memory/fleet/the-agent-scratchpad-is-tmpfs-so-every-byte-you-write-there-is-ram.md
a-section-heading-s-title-does-not-bound-the-section-the-next-heading-does	DROP	proposed for promotion, not taken: one citation-review incident; covered in spirit by roles/adversary/a-citation-that-does-not-resolve-needs-checking-against-every-tree.md
a-self-reported-ac-line-can-discharge-one-criterion-and-refute-another	DROP	single-incident WP narrative (V3-FO-CONVERSION-LOAD-MEASURED)
a-sentinel-inside-a-test-watches-that-compile-not-the-population	DUP	pin-a-property / mutation-prove-a-pin skills
a-serialized-assertion-chain-under-reports-its-own-cost-from-the-first-red	DUP	agent/memory/roles/steward/a-blocking-verdict-short-circuits-the-remaining-acceptance-claims.md
a-shared-failure-sentinel-prints-the-message-it-was-minted-for	DROP	single-incident diagnostic narrative (Ken native shim trap codes)
a-shared-path-change-has-an-affected-closure-along-non-diff-dimensions-census-resource-cost-and-numbering-not-only-semantic-consumers	DROP	role-specific Architect campaign narrative, Ken-runtime specific
a-shared-rendering-is-a-property-of-the-category-not-the-site-you-reclassified	DROP	single-incident WP narrative (RT-ROOT-AUTHORITY-BLAME-DOMAIN)
a-shell-var-that-does-not-persist-makes-git-diff-fail-open	DUP	agent/memory/fleet/multi-worktree-cwd-drift-phantom-diff.md
a-short-circuiting-probe-measures-the-first-cause-not-the-set	DUP	agent/memory/roles/steward/a-blocking-verdict-short-circuits-the-remaining-acceptance-claims.md
a-sibling-artifact-may-already-hold-the-enumeration-your-frame-got-wrong	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-single-fuser-reading-cannot-tell-a-free-mutex-from-a-rapidly-cycled-one	DROP	single-incident build-lock diagnosis narrative
a-single-slot-last-write-wins-frame-store-is-sound-iff-readers-fail-close-on-a-unique-full-key	DROP	single-incident Ken-runtime code-review verdict
a-site-tag-read-from-an-ambient-guard-names-the-dynamic-extent-not-the-invoker	DROP	single-incident Ken-runtime diagnostic narrative
a-skip-building-a-discarded-value-optimization-is-sound-iff-the-discard-proof-is-complete-and-its-fallible-gate-runs-unconditionally	DROP	single-incident Ken-kernel proof engineering review
a-source-scans-region-delimiter-can-be-a-landmark-not-a-boundary	DROP	same mechanism as promoted batch-mate a-section-heading...; avoid duplicate promotion
a-spec-sentence-is-either-normative-or-a-claim-of-fact-and-they-repair-differently	DROP	single-incident spec-routing narrative (LANG-ATOM-START), role-specific
a-specific-sounding-instruction-resists-the-question-a-vague-one-would-invite	DROP	proposed for promotion, not taken: short reviewer heuristic; not selected
a-squash-merged-prs-head-sha-reads-as-never-landed-forever	DUP	agent/memory/roles/steward/a-routing-queue-built-from-statuses-and-ancestry-is-four-already-landed-candidates.md
a-squash-merged-working-branch-does-not-know-it-landed-so-the-next-cut-from-it-reproposes-landed-files	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
a-squash-publish-makes-my-next-candidates-merge-base-predate-my-own-edit-so-git-unions-it	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
a-stack-budget-sentinel-recalibration-needs-a-carry-proof-and-a-cliff-margin-check-a-candidate-abort-is-a-process-sigabrt	DUP	agent/playbooks/tools/stated-stacks.md
a-stacked-candidates-base-can-be-a-mid-rebase-waypoint-that-is-absent-from-the-remote	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
a-staged-compact-on-a-composer-needs-a-clear-and-retype-not-a-bare-enter	DUP	agent/memory/fleet/compaction-render-delay-escape-aborts.md
a-stale-identifier-in-a-standing-injected-prompt-outlives-the-conversation-that-would-correct-it	DROP	single-incident; specific instance of the well-covered stale-claim family
a-stale-line-range-citation-silently-repoints-at-unrelated-real-content	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-stale-number-that-drifts-into-being-correct-cannot-be-caught-by-checking-it	PROMOTE	new agent/memory/fleet/a-stale-number-that-drifts-into-being-correct-cannot-be-caught-by-checking-it.md
a-started-background-publisher-is-not-a-running-one-check-the-pid-and-log-mtime	DROP	single-incident infra-diagnosis narrative
a-startup-failure-run-leaves-orphaned-queued-checks-do-not-rerun-it	DUP	agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
a-stated-gap-does-not-scope-a-universal-claim-written-above-it	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-static-lifetime-does-not-mean-the-data-cannot-be-per-unit-ask-where-the-existing-some-sites-get-their-storage	DROP	single-incident Ken-runtime type/design review narrative
a-statistic-over-a-mixed-population-answers-a-question-nobody-asked	DUP	agent/memory/fleet/a-differential-over-an-aggregate-is-an-existential-not-a-universal.md
a-status-flip-doc-route-on-a-just-merged-wp-is-superseded-by-the-ken-ci-auto-close-which-drops-your-banners	DROP	Ken-CI-bot-specific mechanical quirk, narrow tooling detail
a-status-flip-has-a-body-text-tail	DUP	agent/memory/fleet/a-requirement-in-an-advisory-section-is-never-discharged.md
a-stranded-hub-seat-presents-as-n-correct-looking-waits	DUP	agent/memory/roles/steward/a-queued-delivery-waits-on-a-next-tool-call-an-idle-seat-will-never-make.md
a-structural-pin-that-enumerates-spellings-is-not-a-proof-of-the-property	DUP	agent/playbooks/tools/pin-a-property.md
a-subagent-can-revert-your-uncommitted-edits-and-the-prescribed-verification-passes-vacuously	DUP	agent/memory/fleet/git-checkout-ref-dot-silently-reverts-uncommitted-edits-worktree-wide.md
a-suite-count-improvement-can-hide-a-new-red	DUP	agent/memory/fleet/no-new-red-is-measured-against-the-last-checkpoint-not-the-merge-base.md
a-superseded-candidate-leaves-its-decision-object-behind	DUP	agent/memory/enclave/a-block-recorded-as-an-unresolved-decision-outlives-the-thing-it-blocked.md
a-swallowed-tool-parameter-returns-the-documented-success-value	DROP	harness/tool-call XML quirk specific to one session's transport; not verifiably still reproducible
a-sweep-by-class-name-misses-controls-that-name-the-lane	DUP	CHECKS.md#3
a-sweep-reporting-clear-may-have-skipped-the-pane-it-cleared	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-sweep-that-asks-what-is-owed-to-me-is-blind-to-a-released-wp-nobody-pulled	DROP	proposed for promotion, not taken: covered by Steward playbook watchdog and roles/steward node-status lessons
a-template-level-field-cannot-express-a-per-occurrence-relation	DROP	too specific to one component's template data model; single incident
a-temporary-worktree-instruction-must-name-a-disk-location-because-tmp-is-ram	DUP	agent/memory/fleet/the-agent-scratchpad-is-tmpfs-so-every-byte-you-write-there-is-ram.md
a-termination-argument-can-rest-on-compile-time-shrinking-that-a-runtime-value-destroys	DROP	narrow kernel/runtime incident tied to one landed WP's mechanism
a-test-file-landing-whose-only-change-is-ignore-reason-strings-is-inert-check-the-ignore-attribute-not-its-text	DUP	agent/memory/fleet/a-guard-added-to-a-pattern-can-consume-the-token-the-pattern-searches-for.md
a-test-only-sub-item-landing-whose-wp-names-a-production-behavior-verify-the-mechanism-in-the-landed-base-tree	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
a-test-pinning-a-missing-port-refusal-inverts-its-signal-when-the-port-lands	DUP	agent/playbooks/build/qa-test-design.md
a-test-that-arranges-a-property-and-never-asserts-it-is-a-coverage-gap-wearing-a-correct-name	DROP	real nuance but narrower than the batch's stronger candidates; adjacent themes covered
a-test-that-asserts-a-stack-or-depth-property-must-pin-that-resource-at-the-site	DUP	agent/playbooks/tools/stated-stacks.md
a-tests-doc-comment-describing-production-is-not-evidence-about-production	DUP	agent/memory/fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md
a-thread-id-in-the-events-feed-is-truncated-and-404s-when-you-post-with-it	DUP	agent/memory/fleet/mootup-posting-from-agent.md
a-threshold-rule-and-an-unconditional-rule-look-identical-at-the-moment-you-apply-the-wrong-one	DUP	agent/memory/enclave/spec-enclave-always-compact-before-new-work.md
a-tools-silence-is-scoped-to-the-question-it-asks	DUP	agent/memory/fleet/a-tools-silence-is-scoped-to-the-question-it-asks.md (checked-in copy current; no fold)
a-totality-ac-keyed-on-the-caller-cannot-be-total-when-the-builder-is-a-shared-callee	DUP	CHECKS.md#2
a-transition-sentinel-that-reaches-its-boundary-must-change-class-not-be-restated	DUP	agent/playbooks/build/qa-test-design.md
a-trap-identity-that-dedups-on-value-cannot-name-which-of-n-emitters-fired	DROP	narrow single-component (Ken PlannedTrapIdentity) debugging note
a-trigger-parked-in-a-dormant-artifact-is-read-on-a-tree-that-has-moved	DROP	single-incident; overlaps established stale-premise theme in corpus
a-trigger-stated-as-the-next-one-expires-when-that-count-is-consumed	DROP	single-incident; overlaps established stale-premise/derived-not-inherited theme
a-truncated-notification-is-not-a-message	DUP	agent/memory/fleet/a-probe-truncated-before-the-grep-is-not-a-measurement.md
a-truncation-ellipsis-in-tool-output-reads-as-a-spinner	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-two-authorities-cross-check-must-compare-in-a-common-frame-else-cross-frame-gives-false-negatives-and-derive-from-gives-false-positives	DROP	proposed for promotion, not taken: design-specific (native ABI plan vs consumer oracle); CHECKS.md#1 covers the derive-from half
a-two-clause-finding-is-worth-what-you-restate-at-the-next-candidate	DUP	agent/memory/fleet/a-two-clause-finding-gets-discharged-on-whichever-clause-its-author-phrased-as-an-ask.md
a-two-half-ruling-is-read-back-as-its-exonerating-half	DUP	agent/memory/roles/steward/the-summary-generalizes-past-the-measurement-the-artifact-stated.md
a-two-object-commit-must-put-every-refusal-before-the-first-mutation	DROP	proposed for promotion, not taken: one runtime-design incident; a standard atomicity rule
a-two-step-rules-first-step-shadows-its-second-so-the-perturbation-must-stay-coherent	DUP	agent/playbooks/tools/mutation-prove-a-pin.md
a-two-way-diff-against-main-shows-a-false-delete-when-the-base-predates-a-merge	DUP	agent/memory/roles/steward/stale-base-candidate-silently-reverts-everything-landed-since.md
a-vacuity-kill-is-that-the-wrong-answer-names-a-different-value	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-value-that-carries-its-own-authority-makes-the-coordinate-you-repaired-inert	DROP	narrow Ken-runtime lowering incident, single occurrence
a-verdict-on-a-superseded-object-still-carries-on-every-defect-the-new-object-did-not-touch	DUP	agent/memory/fleet/a-two-clause-finding-gets-discharged-on-whichever-clause-its-author-phrased-as-an-ask.md
a-verification-someone-else-performed-becomes-your-claim-when-you-repeat-it	DUP	agent/memory/fleet/agreement-is-not-corroboration-when-a-premise-was-inherited.md
a-verified-catalog-entry-is-sound-iff-its-acceptance-test-asserts-zero-trusted-base-delta-instantiates-the-headline-laws-and-states-the-correct-full-spec	DUP	agent/memory/fleet/a-vacuous-law-has-zero-trust-delta.md
a-verified-negative-has-an-expiry-name-what-would-falsify-it	DROP	single-incident; overlaps established stale-premise theme
a-visibility-census-at-one-layer-is-not-a-finding-about-the-exported-surface	DUP	agent/memory/enclave/abstraction-visibility-feature-soundness-gate.md
a-visibility-retraction-plus-tests-to-incrate-cfgtest-module-relocation-is-clean-when-test-count-is-preserved-every-moved-file-is-declared-and-the-seal-strands-no-external-consumer	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
a-waiver-covers-only-the-issuers-own-gates	PROMOTE	new agent/memory/fleet/a-waiver-covers-only-the-issuers-own-gates.md
a-waiver-reaches-only-as-far-as-what-the-waiver-holder-owns	DUP	merged into promoted agent/memory/fleet/a-waiver-covers-only-the-issuers-own-gates.md
a-wedged-seat-queues-compact-instead-of-running-it	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-whole-string-replacement-hides-a-deletion-from-is-the-new-text-correct	DROP	narrow single-incident review nuance
a-withdrawal-is-not-delivered-by-being-posted	PROMOTE	new agent/memory/fleet/a-withdrawal-is-not-delivered-by-being-posted.md
a-withdrawn-claim-survives-in-the-leading-sentence-and-a-line-local-grep-cannot-see-it	DUP	agent/memory/fleet/a-line-local-operation-lies-about-hard-wrapped-text.md
a-witness-can-satisfy-every-precondition-and-be-blocked-by-an-obligation-one-creates	DROP	narrow Ken-runtime incident; overlaps CHECKS#4
a-working-footer-read-seconds-after-a-nudge-confirms-nothing	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-wp-emits-more-than-one-squash-so-its-subject-line-cannot-tell-code-from-paperwork	DUP	agent/memory/fleet/every-verification-instrument-passes-on-a-candidate-that-was-never-pushed.md
a-zero-hit-census-is-evidence-about-a-name-not-about-a-mechanism	DUP	CHECKS.md#3
